request_id,enqueue_time,send_time,first_byte_time,end_time,prompt_tokens,resp_tokens,bytes_received,status,error
a2dca373-babb-434c-9c56-ceea60e22a8b,1758873719.7581213,1758873719.7643971,,1758873719.7644038,64,,,,"'""model""'"
9ba91518-bd7b-4795-ae2b-5f021cda8001,1758873719.7850182,1758873719.785055,,1758873719.78506,64,,,,"'""model""'"
1d0b50c2-d514-4f16-8b26-d6961f6ad3b1,1758873719.83023,1758873719.8302639,,1758873719.830268,64,,,,"'""model""'"
8ae68696-827e-436c-ba35-303d8cc2defa,1758873719.8364341,1758873719.836464,,1758873719.8364682,64,,,,"'""model""'"
d78e042d-d556-437c-b9f8-8152cc313cab,1758873719.8556235,1758873719.8556533,,1758873719.8556576,64,,,,"'""model""'"
940705e7-6703-4dcd-a561-f225aca60dd1,1758873719.8578036,1758873719.857832,,1758873719.8578358,64,,,,"'""model""'"
ff8731d4-0be1-4b7f-8700-377d9f964996,1758873719.887996,1758873719.888031,,1758873719.8880355,64,,,,"'""model""'"
71b711ca-3cbf-428d-af0c-13fb1df2fe7b,1758873720.0684483,1758873720.0685267,,1758873720.068536,64,,,,"'""model""'"
ed6bce95-4cab-4abb-b998-2c928b0a84a5,1758873720.0788834,1758873720.0789614,,1758873720.078971,64,,,,"'""model""'"
21afbf51-5ea8-43b7-9356-b12174965658,1758873720.2094045,1758873720.2094843,,1758873720.2094932,64,,,,"'""model""'"
a8244775-cdbd-401d-9726-3347cd667857,1758873720.2268615,1758873720.2269387,,1758873720.226948,64,,,,"'""model""'"
1e46ffd3-35ed-4ea3-b44c-86017c2e0001,1758873720.2382622,1758873720.2383409,,1758873720.23835,64,,,,"'""model""'"
eceea03c-c305-4ef9-885a-28c0e38f919d,1758873720.2894773,1758873720.2895784,,1758873720.289588,64,,,,"'""model""'"
485b08e6-e6cb-4dcd-b6a9-0c44401e10e6,1758873720.3629668,1758873720.363045,,1758873720.3630543,64,,,,"'""model""'"
d9387685-153c-4aac-93e6-8782462799f8,1758873720.390375,1758873720.3904538,,1758873720.3904626,64,,,,"'""model""'"
922004f9-bc1c-4b2c-a5c0-655eaf14af33,1758873720.3927963,1758873720.3928738,,1758873720.3928826,64,,,,"'""model""'"
c54a2118-c220-4f8b-b72f-c65031b99d49,1758873720.427214,1758873720.427291,,1758873720.4273007,64,,,,"'""model""'"
cf90409a-1e37-453a-8799-21f6213553cf,1758873720.4686623,1758873720.4687417,,1758873720.468751,64,,,,"'""model""'"
63d8c1dc-87aa-4570-9e88-33b55e14f01b,1758873720.471086,1758873720.471166,,1758873720.471175,64,,,,"'""model""'"
07657f9b-b10b-486a-932e-ea8e80599546,1758873720.4795084,1758873720.4795878,,1758873720.4795973,64,,,,"'""model""'"
4ac2e190-9174-4e43-aded-40001fd816e6,1758873720.5109332,1758873720.511013,,1758873720.5110226,64,,,,"'""model""'"
38a8a1f9-62fc-40d1-9cdd-803ba165443e,1758873720.5173662,1758873720.517445,,1758873720.5174544,64,,,,"'""model""'"
52e028b2-3f84-4abd-bb38-3454df74fb70,1758873720.5508156,1758873720.5508957,,1758873720.5509045,64,,,,"'""model""'"
9ed0615b-d5a8-44aa-b196-cbe7478a439b,1758873720.5822525,1758873720.5823324,,1758873720.582342,64,,,,"'""model""'"
76d02088-e769-4103-930d-41aedea5ed12,1758873720.5936816,1758873720.5937607,,1758873720.5937698,64,,,,"'""model""'"
4ea1794f-1181-4a35-917e-1743088f73d0,1758873720.6100872,1758873720.6101663,,1758873720.6101758,64,,,,"'""model""'"
4a45cf7d-06e2-4fc6-8834-5ea2548e4fb4,1758873720.626488,1758873720.6265674,,1758873720.6265764,64,,,,"'""model""'"
5332dcbf-70a8-4785-8c83-5773d1569ba1,1758873720.6409068,1758873720.640986,,1758873720.6409953,64,,,,"'""model""'"
10d9b838-024c-4981-85b1-34d2c8591a23,1758873720.675344,1758873720.6754234,,1758873720.6754324,64,,,,"'""model""'"
841052bb-14a0-4793-9668-683bcccbc2ca,1758873720.7028,1758873720.7028878,,1758873720.7028975,64,,,,"'""model""'"
d36e278e-a1a7-4432-9ad2-b4c854439154,1758873720.7252543,1758873720.725334,,1758873720.725343,64,,,,"'""model""'"
e8f53abe-18df-4698-a754-a6dd29fba9c6,1758873720.7266767,1758873720.7267566,,1758873720.726766,64,,,,"'""model""'"
10767523-7d02-4b9b-92de-5ab79b1ed145,1758873720.7410986,1758873720.7411768,,1758873720.741186,64,,,,"'""model""'"
e39cae49-09db-463e-a838-bcbe1a424d71,1758873720.7632957,1758873720.7633748,,1758873720.7633839,64,,,,"'""model""'"
9d6510cd-12c8-43e7-88cf-fc060f139db1,1758873720.7707195,1758873720.7707994,,1758873720.7708085,64,,,,"'""model""'"
c46b1177-fe8e-4052-9c27-a086096042d9,1758873720.848206,1758873720.848286,,1758873720.8482955,64,,,,"'""model""'"
d079dfff-2b7f-424c-8110-82b7adf95068,1758873720.870631,1758873720.8707101,,1758873720.8707194,64,,,,"'""model""'"
14df1a8e-2972-4b3a-be6c-4851d8cbc40a,1758873720.925076,1758873720.925155,,1758873720.9251642,64,,,,"'""model""'"
e527b844-96e3-4ec3-8ef7-a2eec81f0efe,1758873720.99953,1758873720.9996085,,1758873720.9996178,64,,,,"'""model""'"
cd64fa9c-8671-44d6-9aba-85ee069e9fa8,1758873721.0499318,1758873721.0500112,,1758873721.0500205,64,,,,"'""model""'"
00dee584-f62a-4560-bc55-3ee5ecb72102,1758873721.071358,1758873721.0714376,,1758873721.0714471,64,,,,"'""model""'"
87f6db82-7bf5-468f-86b5-db97b50004f6,1758873721.0767796,1758873721.0768585,,1758873721.0768688,64,,,,"'""model""'"
8ca65467-b67d-469e-9a6c-8ebe4bdddf2c,1758873721.0781574,1758873721.0782182,,1758873721.0782259,64,,,,"'""model""'"
47f98949-1bfc-48a6-9623-b960aba95cdc,1758873721.1445682,1758873721.1446486,,1758873721.144657,64,,,,"'""model""'"
dc8664e2-b3eb-482c-a506-72dfe074b366,1758873721.1459377,1758873721.1459985,,1758873721.1460063,64,,,,"'""model""'"
9447a8e4-ba41-46eb-a546-125856d219b2,1758873721.158287,1758873721.1583664,,1758873721.158376,64,,,,"'""model""'"
08000651-6e45-4a17-9b1c-d77738def15e,1758873721.1807082,1758873721.1807883,,1758873721.180797,64,,,,"'""model""'"
737b3078-5790-498f-9a5a-1eb921a85569,1758873721.224133,1758873721.2242126,,1758873721.2242217,64,,,,"'""model""'"
