ts,mem_used_mb,mem_total_mb,gpu_util,gpu_mem_util
1758873809.0050447,23871,24576,0,0
1758873809.5064037,23871,24576,0,0
1758873810.0074995,23871,24576,0,0
1758873810.508567,23871,24576,0,0
1758873811.0093732,23871,24576,0,0
1758873811.513627,23871,24576,0,0
1758873812.0147567,23871,24576,0,0
1758873812.5154214,23871,24576,0,0
1758873813.0163662,23871,24576,0,0
1758873813.5171988,23871,24576,0,0
1758873814.0188942,23871,24576,0,0
1758873814.5201206,23871,24576,0,0
1758873815.021798,23871,24576,0,0
1758873815.5238693,23871,24576,0,0
1758873816.0261354,23871,24576,0,0
1758873816.5268114,23871,24576,0,0
1758873817.0276625,23871,24576,0,0
1758873817.5283167,23871,24576,0,0
1758873818.029173,23871,24576,0,0
1758873818.529995,23871,24576,0,0
1758873819.03159,23871,24576,0,0
1758873819.5332787,23871,24576,0,0
1758873820.0342855,23871,24576,0,0
1758873820.5354874,23871,24576,0,0
1758873821.0363958,23871,24576,0,0
1758873821.537291,23871,24576,0,0
1758873822.0387232,23871,24576,0,0
1758873822.5409367,23871,24576,0,0
1758873823.043285,23871,24576,0,0
1758873823.5443008,23871,24576,0,0
1758873824.0456345,23871,24576,0,0
1758873824.5468733,23871,24576,0,0
1758873825.048401,23871,24576,0,0
1758873825.5496867,23871,24576,0,0
1758873826.0516768,23871,24576,0,0
1758873826.5532022,23871,24576,0,0
1758873827.054254,23871,24576,0,0
1758873827.5554912,23871,24576,0,0
1758873828.0566206,23871,24576,0,0
1758873828.5586653,23871,24576,0,0
1758873829.0599716,23871,24576,0,0
1758873829.5614016,23871,24576,0,0
1758873830.0629964,23871,24576,0,0
1758873830.563912,23871,24576,0,0
1758873831.064748,23871,24576,0,0
1758873831.5660126,23871,24576,0,0
1758873832.0670059,23871,24576,0,0
1758873832.5689273,23871,24576,0,0
1758873833.070147,23871,24576,0,0
1758873833.5717685,23871,24576,0,0
1758873834.0734427,23871,24576,0,0
1758873834.5743232,23871,24576,0,0
1758873835.0757358,23871,24576,0,0
1758873835.5767562,23871,24576,0,0
1758873836.0780046,23871,24576,0,0
1758873836.5792036,23871,24576,0,0
1758873837.0807452,23871,24576,0,0
1758873837.5818324,23871,24576,0,0
1758873838.0831177,23871,24576,0,0
1758873838.5858831,23871,24576,0,0
1758873839.087497,23871,24576,0,0
1758873839.5895119,23871,24576,0,0
1758873840.091447,23871,24576,0,0
1758873840.5924897,23871,24576,0,0
1758873841.0933485,23871,24576,0,0
1758873841.5942113,23871,24576,0,0
1758873842.0967925,23871,24576,0,0
1758873842.5982032,23871,24576,0,0
1758873843.0993328,23871,24576,0,0
1758873843.6002545,23871,24576,0,0
1758873844.1021001,23871,24576,0,0
1758873844.6029735,23871,24576,0,0
1758873845.1050198,23871,24576,0,0
1758873845.6062675,23871,24576,0,0
1758873846.1088462,23871,24576,0,0
1758873846.6102533,23871,24576,0,0
1758873847.1114957,23871,24576,0,0
1758873847.6127217,23871,24576,0,0
1758873848.113559,23871,24576,0,0
1758873848.6149547,23871,24576,0,0
1758873849.115888,23871,24576,0,0
1758873849.6168668,23871,24576,0,0
1758873850.1178443,23871,24576,0,0
1758873850.618946,23871,24576,0,0
1758873851.1206686,23871,24576,0,0
1758873851.6222055,23871,24576,0,0
1758873852.123506,23871,24576,0,0
1758873852.6243615,23871,24576,0,0
1758873853.125206,23871,24576,0,0
1758873853.626959,23871,24576,0,0
1758873854.1288402,23871,24576,0,0
1758873854.6304474,23871,24576,0,0
1758873855.1328766,23871,24576,0,0
1758873855.6340756,23871,24576,0,0
1758873856.1351564,23871,24576,0,0
1758873856.6367948,23871,24576,0,0
1758873857.1392076,23871,24576,0,0
1758873857.6409953,23871,24576,0,0
1758873858.142771,23871,24576,0,0
1758873858.64421,23871,24576,0,0
1758873859.1456225,23871,24576,0,0
1758873859.6475406,23871,24576,0,0
1758873860.1487267,23871,24576,0,0
1758873860.6497552,23871,24576,0,0
1758873861.1513822,23871,24576,0,0
1758873861.6525874,23871,24576,0,0
1758873862.1540942,23871,24576,0,0
1758873862.6564524,23871,24576,0,0
1758873863.1573534,23871,24576,0,0
1758873863.6588423,23871,24576,0,0
1758873864.1608796,23871,24576,0,0
1758873864.6622884,23871,24576,0,0
1758873865.1634033,23871,24576,0,0
1758873865.6650517,23871,24576,0,0
1758873866.1665769,23871,24576,0,0
1758873866.668037,23871,24576,0,0
1758873867.1694484,23871,24576,0,0
1758873867.672233,23871,24576,0,0
1758873868.173707,23871,24576,0,0
1758873868.6754568,23871,24576,0,0
1758873869.1765451,23871,24576,0,0
1758873869.6778657,23871,24576,0,0
1758873870.1805522,23871,24576,0,0
1758873870.6818721,23871,24576,0,0
1758873871.183385,23871,24576,0,0
1758873871.6858647,23871,24576,0,0
1758873872.1872413,23871,24576,0,0
1758873872.6888683,23871,24576,0,0
1758873873.18964,23871,24576,0,0
1758873873.6906357,23871,24576,0,0
1758873874.1921444,23871,24576,0,0
1758873874.6929388,23871,24576,0,0
1758873875.1937475,23871,24576,0,0
1758873875.6951447,23871,24576,0,0
1758873876.195983,23871,24576,0,0
1758873876.6968331,23871,24576,0,0
1758873877.1986365,23871,24576,0,0
1758873877.699745,23871,24576,0,0
1758873878.2005906,23871,24576,0,0
1758873878.7015145,23871,24576,0,0
1758873879.2024755,23871,24576,0,0
1758873879.7049801,23871,24576,0,0
1758873880.2065964,23871,24576,0,0
1758873880.708177,23871,24576,0,0
1758873881.209407,23871,24576,0,0
1758873881.7107863,23871,24576,0,0
1758873882.2131314,23871,24576,0,0
1758873882.714015,23871,24576,0,0
1758873883.2152817,23871,24576,0,0
1758873883.716943,23871,24576,0,0
1758873884.2180214,23871,24576,0,0
1758873884.719661,23871,24576,0,0
1758873885.2209198,23871,24576,0,0
1758873885.7227058,23871,24576,0,0
1758873886.2244036,23871,24576,0,0
1758873886.7256806,23871,24576,0,0
1758873887.2267203,23871,24576,0,0
1758873887.7284858,23871,24576,0,0
1758873888.2298205,23871,24576,0,0
1758873888.7308655,23871,24576,0,0
1758873889.232215,23871,24576,0,0
1758873889.7333217,23871,24576,0,0
1758873890.2350187,23871,24576,0,0
1758873890.736291,23871,24576,0,0
1758873891.2371237,23871,24576,0,0
1758873891.7380414,23871,24576,0,0
1758873892.238885,23871,24576,0,0
1758873892.7397158,23871,24576,0,0
1758873893.2415,23871,24576,0,0
1758873893.742523,23871,24576,0,0
1758873894.2446132,23871,24576,0,0
1758873894.7454793,23871,24576,0,0
1758873895.2463822,23871,24576,0,0
1758873895.7481518,23871,24576,0,0
1758873896.2500548,23871,24576,0,0
1758873896.7524958,23871,24576,0,0
1758873897.2539852,23871,24576,0,0
1758873897.7552137,23871,24576,0,0
1758873898.256236,23871,24576,0,0
1758873898.7581882,23871,24576,0,0
1758873899.2589796,23871,24576,0,0
1758873899.7600844,23871,24576,0,0
1758873900.2616255,23871,24576,0,0
1758873900.76294,23871,24576,0,0
1758873901.2644215,23871,24576,0,0
1758873901.7661202,23871,24576,0,0
1758873902.267444,23871,24576,0,0
1758873902.7685916,23871,24576,0,0
1758873903.27016,23871,24576,0,0
1758873903.7721975,23871,24576,0,0
1758873904.2738967,23871,24576,0,0
1758873904.7748744,23871,24576,0,0
1758873905.2757502,23871,24576,0,0
1758873905.777425,23871,24576,0,0
1758873906.2785835,23871,24576,0,0
1758873906.7803156,23871,24576,0,0
1758873907.2817576,23871,24576,0,0
1758873907.78358,23871,24576,0,0
1758873908.285311,23871,24576,0,0
1758873908.7862277,23871,24576,0,0
1758873909.2876906,23871,24576,0,0
1758873909.7890964,23871,24576,0,0
1758873910.2907953,23871,24576,0,0
1758873910.7922094,23871,24576,0,0
1758873911.2942169,23871,24576,0,0
1758873911.7967582,23871,24576,0,0
1758873912.2982168,23871,24576,0,0
1758873912.8002532,23871,24576,0,0
1758873913.3017073,23871,24576,0,0
1758873913.8028054,23871,24576,0,0
1758873914.3035884,23871,24576,0,0
1758873914.805041,23871,24576,0,0
1758873915.3076744,23871,24576,0,0
1758873915.8086653,23871,24576,0,0
1758873916.310343,23871,24576,0,0
1758873916.8119743,23871,24576,0,0
1758873917.3136358,23871,24576,0,0
1758873917.8149407,23871,24576,0,0
1758873918.3162143,23871,24576,0,0
1758873918.817856,23871,24576,0,0
1758873919.3187733,23871,24576,0,0
1758873919.820482,23871,24576,0,0
1758873920.3227174,23871,24576,0,0
1758873920.8251274,23871,24576,0,0
1758873921.3267567,23871,24576,0,0
1758873921.828007,23871,24576,0,0
1758873922.3294554,23871,24576,0,0
1758873922.830483,23871,24576,0,0
1758873923.3316941,23871,24576,0,0
1758873923.8332102,23871,24576,0,0
1758873924.3340578,23871,24576,0,0
1758873924.8356376,23871,24576,0,0
1758873925.3367436,23871,24576,0,0
1758873925.8385704,23871,24576,0,0
1758873926.3402739,23871,24576,0,0
1758873926.842049,23871,24576,0,0
1758873927.3432503,23871,24576,0,0
1758873927.8451874,23871,24576,0,0
1758873928.34637,23871,24576,0,0
1758873928.8474333,23871,24576,0,0
1758873929.3486788,23871,24576,0,0
1758873929.8511677,23871,24576,0,0
1758873930.353892,23871,24576,0,0
1758873930.8552299,23871,24576,0,0
1758873931.3573668,23871,24576,0,0
1758873931.8584988,23871,24576,0,0
1758873932.3598878,23871,24576,0,0
1758873932.8608286,23871,24576,0,0
1758873933.3619978,23871,24576,0,0
1758873933.8638082,23871,24576,0,0
1758873934.3651214,23871,24576,0,0
1758873934.8667147,23871,24576,0,0
1758873935.3678722,23871,24576,0,0
1758873935.8692486,23871,24576,0,0
1758873936.3708293,23871,24576,0,0
1758873936.8723943,23871,24576,0,0
1758873937.373777,23871,24576,0,0
1758873937.8752308,23871,24576,0,0
1758873938.3768446,23871,24576,0,0
1758873938.8795009,23871,24576,0,0
1758873939.3806148,23871,24576,0,0
1758873939.8815744,23871,24576,0,0
1758873940.3832023,23871,24576,0,0
1758873940.884442,23871,24576,0,0
1758873941.3853667,23871,24576,0,0
1758873941.8870342,23871,24576,0,0
1758873942.3879704,23871,24576,0,0
1758873942.8894835,23871,24576,0,0
1758873943.3919737,23871,24576,0,0
1758873943.8931112,23871,24576,0,0
1758873944.3946393,23871,24576,0,0
1758873944.895833,23871,24576,0,0
1758873945.3982577,23871,24576,0,0
1758873945.900015,23871,24576,0,0
1758873946.400914,23871,24576,0,0
1758873946.9019885,23871,24576,0,0
1758873947.4027774,23871,24576,0,0
1758873947.9047642,23871,24576,0,0
1758873948.4072182,23871,24576,0,0
1758873948.9083445,23871,24576,0,0
1758873949.409808,23871,24576,0,0
1758873949.911386,23871,24576,0,0
1758873950.4125013,23871,24576,0,0
1758873950.9134529,23871,24576,0,0
1758873951.4152598,23871,24576,0,0
1758873951.9179156,23871,24576,0,0
1758873952.4206407,23871,24576,0,0
1758873952.921665,23871,24576,0,0
1758873953.422863,23871,24576,0,0
1758873953.9244785,23871,24576,0,0
1758873954.426137,23871,24576,0,0
1758873954.9274795,23871,24576,0,0
1758873955.4288087,23871,24576,0,0
1758873955.9299443,23871,24576,0,0
1758873956.43109,23871,24576,0,0
1758873956.932498,23871,24576,0,0
1758873957.4333339,23871,24576,0,0
1758873957.9349084,23871,24576,0,0
1758873958.4365542,23871,24576,0,0
1758873958.9380295,23871,24576,0,0
1758873959.4388046,23871,24576,0,0
1758873959.9402611,23871,24576,0,0
1758873960.4419718,23871,24576,0,0
1758873960.9444537,23871,24576,0,0
1758873961.4458075,23871,24576,0,0
1758873961.9485059,23871,24576,0,0
1758873962.4496808,23871,24576,0,0
1758873962.9508498,23871,24576,0,0
1758873963.451824,23871,24576,0,0
1758873963.9529068,23871,24576,0,0
1758873964.45424,23871,24576,0,0
1758873964.956128,23871,24576,0,0
1758873965.457295,23871,24576,0,0
1758873965.9582176,23871,24576,0,0
1758873966.4590228,23871,24576,0,0
1758873966.9605234,23871,24576,0,0
1758873967.462076,23871,24576,0,0
1758873967.9633617,23871,24576,0,0
1758873968.464624,23871,24576,0,0
1758873968.9654896,23871,24576,0,0
1758873969.46719,23871,24576,0,0
1758873969.9690335,23871,24576,0,0
