request_id,enqueue_time,send_time,first_byte_time,end_time,prompt_tokens,resp_tokens,bytes_received,status,error
d1f2da52-0df9-4eb9-b3a3-d766bfd737ee,1758871614.3868628,1758871614.3869421,,1758871614.3869517,60,,,,"'""model""'"
fd814291-c0dc-47ea-948c-be84ef7ba24a,1758871614.4062684,1758871614.4063475,,1758871614.406357,47,,,,"'""model""'"
cb63c580-8e8a-4bdd-994d-540698002b09,1758871614.4147058,1758871614.4147854,,1758871614.4147942,65,,,,"'""model""'"
be5cb636-ac8a-457f-b08c-ac7a03720287,1758871614.423138,1758871614.4232178,,1758871614.4232266,62,,,,"'""model""'"
3744ba5b-8967-430e-a992-d7482d355af3,1758871614.4575994,1758871614.457679,,1758871614.4576886,115,,,,"'""model""'"
8fd9d465-90dd-4b5a-b2b9-abd3cde0722a,1758871614.4970477,1758871614.497128,,1758871614.4971373,88,,,,"'""model""'"
b8917ec5-2795-4be9-8b87-f4d2ddaa6255,1758871614.539512,1758871614.5395927,,1758871614.5396023,96,,,,"'""model""'"
223a0d93-0ec6-475b-b633-aefe4be7be8c,1758871614.558938,1758871614.5590181,,1758871614.5590277,51,,,,"'""model""'"
cfb8fd5a-8908-4f37-af7e-3dcfad034790,1758871614.569369,1758871614.5694492,,1758871614.5694582,92,,,,"'""model""'"
d44fc10e-afff-40b7-bb97-98978f2df811,1758871614.579816,1758871614.5798972,,1758871614.5799072,79,,,,"'""model""'"
f5ab7a42-d6d3-4520-9d83-e06f584b6b9b,1758871614.6202455,1758871614.620325,,1758871614.6203346,76,,,,"'""model""'"
a93a7bfb-99a2-4c8e-8659-1e96c52c060c,1758871614.628671,1758871614.6287498,,1758871614.6287594,38,,,,"'""model""'"
d9150ba1-a5b0-4820-a861-f7576c8e5ebc,1758871614.6560912,1758871614.6561713,,1758871614.6561806,10,,,,"'""model""'"
799eaca8-f47e-4f19-9fa6-be7fcf8153b2,1758871614.6835399,1758871614.6842256,,1758871614.6842356,62,,,,"'""model""'"
