request_id,enqueue_time,send_time,first_byte_time,end_time,prompt_tokens,resp_tokens,bytes_received,status,error
d8477de2-64c7-4fbf-b3e8-004b1606a947,1758870850.9371915,1758870850.9442308,,1758870850.9442375,106,,,,"'""prompt""'"
33a3766d-5ffe-4ec6-ba47-95ca7ff57bee,1758870851.0196586,1758870851.019697,,1758870851.0197012,23,,,,"'""prompt""'"
335692ef-e20c-48f2-877a-ea598caaae70,1758870851.044878,1758870851.0449107,,1758870851.044915,14,,,,"'""prompt""'"
626c0d18-3c96-4345-96f9-54fdda3d45b8,1758870851.0841258,1758870851.0841815,,1758870851.0841885,68,,,,"'""prompt""'"
f6279203-2af2-4bbb-bbf6-83b742b8b533,1758870851.1644368,1758870851.1644685,,1758870851.1644728,31,,,,"'""prompt""'"
2fef5c2e-e572-420c-bb48-19aa3fc7c633,1758870851.192638,1758870851.1926687,,1758870851.1926723,80,,,,"'""prompt""'"
ebd30283-4efe-4bc6-a3ea-3b99ecf8580b,1758870851.2399225,1758870851.23999,,1758870851.239998,81,,,,"'""prompt""'"
8c849e16-fd91-41dd-b47c-bd3039fc383b,1758870851.2513015,1758870851.2513688,,1758870851.2513764,37,,,,"'""prompt""'"
34203da6-d51c-409e-9d1f-b3a33566b162,1758870851.276671,1758870851.2767391,,1758870851.2767472,32,,,,"'""prompt""'"
68aea485-2b56-4cdb-aa04-b7a3f3a98831,1758870851.2820306,1758870851.2820976,,1758870851.282106,128,,,,"'""prompt""'"
69f19d44-a81e-46eb-929b-98c18f87223a,1758870851.301416,1758870851.301485,,1758870851.301493,45,,,,"'""prompt""'"
5afda658-27e7-4c59-9b3b-de09569faa06,1758870851.3628376,1758870851.362908,,1758870851.3629155,124,,,,"'""prompt""'"
308aeef5-d6f0-43fe-9586-1cc77bf7bf2d,1758870851.4141967,1758870851.4142666,,1758870851.4142737,110,,,,"'""prompt""'"
0713f6dd-7fd2-4366-958d-81ac55e58182,1758870851.4573705,1758870851.4574401,,1758870851.457448,90,,,,"'""prompt""'"
ff26d8b1-bbff-4c18-8716-181fb581dfa8,1758870851.467718,1758870851.467758,,1758870851.4677625,86,,,,"'""prompt""'"
afe1197d-22ab-4032-8e94-654379d98683,1758870851.5310392,1758870851.5311067,,1758870851.5311146,34,,,,"'""prompt""'"
a8a46cec-9560-47fd-bc8b-5670363e4da4,1758870851.5544176,1758870851.5544853,,1758870851.5544934,101,,,,"'""prompt""'"
5a942165-bf6d-462f-a4b2-2ad0a7103996,1758870851.6528642,1758870851.6529336,,1758870851.6529412,56,,,,"'""prompt""'"
edc1db01-5a49-48b6-9db4-d4162a98d695,1758870851.6852567,1758870851.6853254,,1758870851.6853333,69,,,,"'""prompt""'"
b67a099c-817c-4941-898c-f462c868a9a9,1758870851.702645,1758870851.7027144,,1758870851.7027225,55,,,,"'""prompt""'"
b0620e99-e0b5-4369-9f63-64c2501ea79e,1758870851.7149727,1758870851.715012,,1758870851.7150166,96,,,,"'""prompt""'"
e5d3aa30-30af-477d-afce-9efee49cc86e,1758870851.719211,1758870851.7192507,,1758870851.7192554,41,,,,"'""prompt""'"
272e0b6c-c6ee-4b93-a01e-bb332296b4fb,1758870851.7294972,1758870851.729583,,1758870851.7295914,37,,,,"'""prompt""'"
c7028587-5e72-48f6-b2ab-43e08d670b56,1758870851.7979214,1758870851.7979896,,1758870851.797997,8,,,,"'""prompt""'"
84c748a1-7f65-4df8-91bb-8157983bbb7c,1758870851.846297,1758870851.8463657,,1758870851.8463736,52,,,,"'""prompt""'"
8c218073-419c-45ef-a8f5-f96e6b2facde,1758870851.8506727,1758870851.8507402,,1758870851.8507476,107,,,,"'""prompt""'"
3cc7e0e6-6073-48c1-af8c-cce65e34452f,1758870851.8909886,1758870851.8910277,,1758870851.891033,15,,,,"'""prompt""'"
aadee009-c45c-4d43-9387-4ac98cbd6011,1758870851.9062548,1758870851.906323,,1758870851.906331,36,,,,"'""prompt""'"
36bcf750-6fb2-4e45-a7b6-33efa775840a,1758870851.983273,1758870851.9833422,,1758870851.98335,39,,,,"'""prompt""'"
700505ca-23a4-4611-964e-4c31b8b146b1,1758870852.0206618,1758870852.0207307,,1758870852.0207393,38,,,,"'""prompt""'"
f08f8f0a-ab1a-40c2-9782-7f2640d6c574,1758870852.0280354,1758870852.0281038,,1758870852.0281122,39,,,,"'""prompt""'"
fd66d335-88ce-4117-9eec-d8042158ad49,1758870852.0654175,1758870852.0654855,,1758870852.0654936,119,,,,"'""prompt""'"
f87e7ced-e7e0-47e7-94aa-6bebb82e01a0,1758870852.103777,1758870852.1038167,,1758870852.1038215,116,,,,"'""prompt""'"
129199e3-0a7f-49e5-9b1b-74a5983f02e4,1758870852.1050587,1758870852.1050985,,1758870852.105103,49,,,,"'""prompt""'"
